statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21611;Kulturstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;395;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SWR;Südwestrundfunk (SWR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;27377;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;-;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;2577;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RBB;Rundfunk Berlin-Brandenburg (RBB);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;31849;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;;Insgesamt;9265;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SR;Saarländischer Rundfunk (SR);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;28670;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;;Insgesamt;35136;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SWR;Südwestrundfunk (SWR);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;48290;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DWISSEN;Deutschlandfunk Nova (DNOVA);HFSAT1;Art der Hörfunksendung;;Insgesamt;8760;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-HR;Hessischer Rundfunk (HR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;22262;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-MDR;Mitteldeutscher Rundfunk (MDR);HFSAT1;Art der Hörfunksendung;;Insgesamt;64539;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-MDR;Mitteldeutscher Rundfunk (MDR);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;546;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;-;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DKULTUR;Deutschlandfunk Kultur (DKULTUR);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;3131;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-BR;Bayerischer Rundfunk (BR);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;21526;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SR;Saarländischer Rundfunk (SR);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;454;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-BR;Bayerischer Rundfunk (BR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;25577;h;SEND01;Sendezeit
